any,contaminant,mitjana_diària
1991,H2S,2.428093924469186
1991,HCNM,2.1129380643067504
1991,HCT,5.640964869287498
1991,NO,13.377601412068325
1991,NO2,27.793397491606026
1991,O3,55.550966824137255
1991,SO2,9.837646092673328
1992,H2S,5.010370905103387
1992,HCNM,1.2429440432438144
1992,HCT,2.363055669252925
1992,NO,13.12965621932845
1992,NO2,24.820241134445467
1992,O3,44.17394407982843
1992,SO2,13.639385955892955
1993,H2S,2.087151321655398
1993,HCNM,2.14258983866221
1993,HCT,2.4002050955980723
1993,NO,20.310656017412196
1993,NO2,39.31675569729705
1993,O3,45.391586223185605
1993,SO2,19.014821562181353
1994,H2S,2.383988329177084
1994,HCNM,1.4308367111190736
1994,HCT,1.919252791948783
1994,NO,12.323084951270465
1994,NO2,33.43264903484396
1994,O3,45.84089420755085
1994,SO2,14.612377567043637
1995,H2S,2.714250359840915
1995,HCNM,0.4060023855831309
1995,HCT,1.6906812819989656
1995,NO,10.944278268146554
1995,NO2,25.264527527119945
1995,O3,56.917017196858644
1995,SO2,11.025837623750283
1996,H2S,2.1431181442780822
1996,HCNM,0.21030992452098524
1996,HCT,0.5556319333636581
1996,NO,10.749011865839444
1996,NO2,25.59406215286452
1996,O3,56.33182829549873
1996,SO2,10.301388104648975
1997,H2S,2.8051868168787855
1997,HCNM,0.3503187579836513
1997,HCT,1.2911192333053245
1997,NO,13.806891430528283
1997,NO2,29.03744827264821
1997,O3,46.18296544987872
1997,SO2,10.229930866652454
1998,H2S,1.9677555500385262
1998,HCNM,0.2562848614234831
1998,HCT,1.2505772869137062
1998,NO,11.953369682769882
1998,NO2,25.937789043403985
1998,O3,51.243693274594506
1998,SO2,5.467732777397691
1999,H2S,1.2638674390257973
1999,HCNM,0.2180392279256481
1999,HCT,0.718076261845177
1999,NO,10.539391720027808
1999,NO2,25.061796002019864
1999,O3,56.5991085780409
1999,SO2,2.12818123103587
2000,H2S,1.6951545999497177
2000,HCNM,0.24903254843721795
2000,HCT,0.8608610846230079
2000,NO,12.356022559778953
2000,NO2,26.073360028953413
2000,O3,54.78194046998651
2000,SO2,2.4479616404143405
2001,H2S,1.096521796004814
2001,NO,13.50904441125269
2001,NO2,29.69534402421348
2001,O3,55.105006408052596
2001,SO2,2.016889729263871
2002,H2S,2.223820446819477
2002,NO,14.029175205945021
2002,NO2,24.542295307879066
2002,O3,55.989883808188885
2002,SO2,3.1284305117960134
2003,H2S,1.1065801545427076
2003,NO,10.014095084718655
2003,NO2,16.886866764175142
2003,O3,55.22704561640439
2003,SO2,2.0719366144824627
2004,H2S,1.2492495962151384
2004,NO,8.069414379797676
2004,NO2,20.767465493354152
2004,O3,53.33720708192987
2004,SO2,2.0439588217323275
2005,H2S,1.0781837774979766
2005,NO,10.402037574403796
2005,NO2,26.41288826194789
2005,O3,56.009810191567986
2005,SO2,2.490719806074758
2006,H2S,1.5218010143014593
2006,NO,9.719097918001427
2006,NO2,24.490881646188463
2006,O3,54.296866165312366
2006,SO2,1.8957326817127849
2007,H2S,1.276709027297692
2007,NO,9.122002498686555
2007,NO2,25.364544265113
2007,O3,50.47290767473557
2007,SO2,2.6152511410289208
2008,H2S,1.1834651314439923
2008,NO,7.533126268973145
2008,NO2,22.19011868815724
2008,O3,51.737885214047196
2008,SO2,1.5659940926651499
2009,H2S,1.4222306945655927
2009,NO,6.092463185257345
2009,NO2,21.80938486879739
2009,O3,54.692719519094936
2009,SO2,1.8277896674466285
2010,H2S,1.7728839190561585
2010,NO,5.491488590349706
2010,NO2,22.493836277948063
2010,O3,56.129907432286316
2010,SO2,1.8040658692376226
2011,H2S,1.404584021508099
2011,NO,6.08712193021395
2011,NO2,23.27067314593651
2011,NOX,38.21861537902728
2011,O3,55.15120876123836
2011,SO2,2.1081107442946405
2012,H2S,1.372313654486533
2012,NO,5.639364375272761
2012,NO2,22.15395283632861
2012,NOX,30.173938427859238
2012,O3,57.55041697533825
2012,PM1,11.236834951005548
2012,PM10,23.588438251513995
2012,PM2.5,14.928768667243993
2012,SO2,2.461004842591364
2013,H2S,1.2524142879295708
2013,NO,5.397507107009805
2013,NO2,19.78501095926521
2013,NOX,27.455269329531752
2013,O3,58.404149438034835
2013,PM1,9.1661360447639
2013,PM10,14.98024799029902
2013,PM2.5,10.9931978257855
2013,SO2,1.8709570685938426
2014,H2S,1.2818731208278384
2014,NO,5.596730072629199
2014,NO2,20.462884620419846
2014,NOX,28.413250389519142
2014,O3,53.740802056245094
2014,PM1,9.626668344204086
2014,PM10,17.472412474042038
2014,PM2.5,12.270300346650615
2014,SO2,2.3491264117918513
2015,H2S,1.233769069526057
2015,NO,7.16465744400527
2015,NO2,22.35268520299576
2015,NOX,32.63620235871789
2015,O3,52.64552192114304
2015,PM1,11.770004239101654
2015,PM10,24.85731507098849
2015,PM2.5,16.022812037162712
2015,SO2,2.2063775858239545
2016,H2S,1.4817907277903366
2016,NO,6.289031215876828
2016,NO2,20.474469796455196
2016,NOX,29.51640337736938
2016,O3,53.85966389504271
2016,PM1,8.051916645154314
2016,PM10,16.743615063552614
2016,PM2.5,11.541711463264214
2016,SO2,2.9236278788524634
2017,H2S,1.398826597998225
2017,NO,5.834550889999124
2017,NO2,20.892503274628332
2017,NOX,28.900435247207273
2017,O3,57.916961659719924
2017,PM1,9.947510406705767
2017,PM10,20.420002380079502
2017,PM2.5,13.244253561460319
2017,SO2,2.6711533294713274
2018,H2S,1.3131040543307624
2018,NO,5.329797268843643
2018,NO2,18.200146696787257
2018,NOX,25.593754622587074
2018,O3,55.76473350665897
2018,PM1,9.46050524461526
2018,PM10,17.893579986751977
2018,PM2.5,11.886891828445394
2018,SO2,2.706779407436986
2019,H2S,1.2825081519911503
2019,NO,4.807956877129675
2019,NO2,17.231530052750525
2019,NOX,24.128234651386023
2019,O3,57.355913892254755
2019,PM1,9.6767563769418
2019,PM10,17.50268047899765
2019,PM2.5,11.130323426508006
2019,SO2,2.4038128515721686
2020,H2S,1.299195720102062
2020,NO,5.0229361191993025
2020,NO2,14.457873564847164
2020,NOX,21.584888125119278
2020,O3,50.28014302177427
2020,PM1,9.863754682482421
2020,PM10,24.505878068162787
2020,PM2.5,13.898791985563763
2020,SO2,2.303375082498006
